job_name,company,location,department,easy_apply,remote,salary,urgently_hiring,company_rating
Data Engineer (H/F) PARIS ou NANTES,HIPAY,Levallois-Perret,92,True,False,null,False,3.0
Data Engineer Intern,Back Market,Paris,75,False,False,null,False,4.5
Stage de fin d'�tudes Consultant(e) Data Engineer,Sia Partners,Paris 8e,75,True,False,null,False,3.8
Data engineer - Ecole de la Data H/F,Business & Decision,Montrouge,92,False,False,null,False,3.2
Data Scientist (H/F),CITECH,Marseille,13,True,False,70 000 � - 100 000 � par an,False,null
Data Engineer F/H,Lizeo Group,Lyon,69,False,False,null,False,null
ETL Semantic Data Engineer European Institution in Ispra - I...,EKXEL IT Services & Financial Engineering,T�l�travail,unknown,True,False,null,False,null
Technical Leader Data Engineer H/F,Bouygues Telecom,Meudon,92,False,False,45 000 � - 55 000 � par an,False,3.8
Stagiaire Big Data - H/F,Talan Solutions,Paris,75,True,False,null,False,null
Data Engineer ( F/H,Solantis - Consulting Agency,Paris 1er,75,False,False,null,False,null
APPR - BAC+5- Data Engineer & Analyst Satisfaction Client F/...,Renault,Le Plessis-Robinson,92,False,False,null,False,4.0
DATA ENGINEER - F/H- CDI,La Mutuelle G�n�rale,Paris,75,False,False,null,False,3.4
Research Engineer in Biosecurity Management,CSIRO,Montpellier,34,False,True,null,False,null
DATA ENGINEER � LILLE,NOVA Technology,Lille,59,False,False,null,False,null
Stagiaire �cole Data Engineer F/H,CNAF,Rennes,35,True,False,573 � par mois,False,4.0
Data Scientist � Pharma International Data and Analytics Cha...,Roche,Boulogne-Billancourt,92,False,False,null,False,4.2
DATA ENGINEER (H/F),Believe,Saint-Ouen,93,True,False,null,False,null
Data d�veloppeur (F/H),Challenge2Media,France,unknown,False,False,null,False,null
Data Engineer GCP,Lab5com,Boulogne-Billancourt,92,False,False,50 000 � par an,False,null
D�VELOPPEUR BIG DATA (F/H),Novencia,Paris,75,False,False,null,False,5.0
iCloud Drive - Bug Triage Engineer and Analyst,Apple,Paris,75,False,False,null,False,4.2
Data Developer/Engineer AWS Lyon / Freelance,Sap-Hire,Lyon,69,False,False,400 � par semaine,False,null
Data Engineer F/H,EXTIA,Lyon 2e,69,False,False,null,False,3.4
Data Engineer Junior Spark/Scala (H/F),NATIXIS,Charenton-le-Pont,94,False,False,null,False,3.5
"Field Service Engineer, Paris",Hologic,France,unknown,False,False,null,False,null
Data engineer - H/F,SOAT,Paris 13e,75,True,False,null,False,null
"Solution Engineer, BI & Analytics",Tableau,Paris,75,False,False,null,False,null
Data Scientist,Numberly,Paris 9e,75,False,False,null,False,null
Data Engineer F/H,Kaisens data,Paris 1er,75,False,False,null,False,null
Data engineer H/F,Klanik,Paris,75,False,False,null,False,3.0
Software Engineer Data d�butant F/H,Easyence,Paris 2e,75,False,False,null,False,null
Data scientist Freelance� Secteur bancaire,LFZPartners,Paris,75,True,True,null,False,null
Data Engineer / Scientist (Niort ou Le Mans ou Paris),OMICRONE,Le Mans,72,False,False,null,False,null
Data Engineer,Fideliz,Paris 9e,75,False,False,null,False,null
DATA ENGINEER - F/H,AG2R La Mondiale,Paris,75,False,False,null,False,3.9
Software Engineer Netsuite,Doctolib,France,unknown,False,False,null,False,4.0
Data Engineer,Antidot,Lambesc,13,True,False,null,False,null
Weight Control Engineer,Anotech Energy,France,unknown,False,False,null,False,3.1
